curso_a,curso_b,NT_GER_a,NT_GER_b,diferenca_nota,cluster_a,cluster_b,ODP_a,ODP_b,diferenca_ODP,tx_presenca_a,tx_presenca_b
123539,69891,21.3,21.49,0.188,0,2,3.69,5.9,2.2,0.67,0.96
778,1042084,43.4,43.41,0.014,0,2,3.9,5.95,2.04,0.83,0.93
103257,1404408,21.64,21.78,0.143,0,2,4.14,6.0,1.86,0.7,0.96
19042,10957,37.8,37.81,0.011,0,2,3.93,5.78,1.85,0.95,0.97
318429,97778,40.62,40.62,0.002,2,0,5.85,4.09,-1.75,0.95,0.93
1168526,123539,21.2,21.3,0.105,2,0,5.44,3.69,-1.75,0.73,0.67
1563216,15127,36.85,36.85,0.001,2,0,5.93,4.28,-1.65,0.83,0.97
20818,1349140,30.55,30.57,0.016,2,0,5.62,3.98,-1.64,1.0,0.89
1156617,1193853,25.08,25.09,0.008,0,2,4.24,5.83,1.59,0.7,0.79
116874,778,43.4,43.4,0.001,2,0,5.48,3.9,-1.58,0.93,0.83
3211,7758,41.66,41.66,0.002,0,2,4.39,5.92,1.54,0.89,1.0
22418,19525,32.82,32.82,0.003,2,0,5.47,3.93,-1.54,0.96,0.91
1258851,46845,36.14,36.15,0.004,0,2,4.21,5.74,1.53,0.85,0.97
1364620,1341058,29.4,29.4,0.002,0,2,4.34,5.87,1.53,0.45,0.93
2209,318429,40.61,40.62,0.006,0,2,4.34,5.85,1.5,0.71,0.95
1267543,1073856,37.73,37.74,0.004,0,2,4.34,5.84,1.5,0.85,0.97
52196,91099,33.58,33.58,0.0,0,2,4.4,5.89,1.49,0.73,0.97
1341058,1429915,29.4,29.4,0.001,2,0,5.87,4.4,-1.48,0.93,0.72
1368761,1399133,28.28,28.3,0.015,0,2,3.94,5.4,1.47,0.74,0.89
4865,19042,37.79,37.8,0.003,2,0,5.4,3.93,-1.47,0.89,0.95
