area,cursos,ODP,OPORT,INFRA,dimensao_dominante,correlacao_dominante
A06,58,0.4071,0.5609,0.3808,OPORT,0.5609
A05,185,0.3933,0.5534,0.4064,OPORT,0.5534
A22,41,0.0992,0.222,0.3613,INFRA,0.3613
A14,186,0.2203,0.3301,0.294,OPORT,0.3301
A26,40,-0.021,-0.0784,0.3113,INFRA,0.3113
A24,195,0.0496,0.2736,0.2838,INFRA,0.2838
A09,164,0.1835,0.1839,0.2637,INFRA,0.2637
A19,67,0.2026,0.2371,0.0642,OPORT,0.2371
A25,158,0.1284,0.2219,0.2009,OPORT,0.2219
A23,55,-0.1101,0.0259,0.2203,INFRA,0.2203
A18,46,0.2023,0.2153,0.0457,OPORT,0.2153
A11,125,0.0413,0.2008,0.002,OPORT,0.2008
A21,143,-0.0287,0.0074,0.1657,INFRA,0.1657
A12,230,-0.0902,-0.0129,0.1157,INFRA,0.1157
A29,361,0.0035,0.1126,0.0838,OPORT,0.1126
A17,98,0.0573,0.03,0.1076,INFRA,0.1076
A16,53,0.0902,0.0772,0.0011,ODP,0.0902
A02,34,0.0865,0.0392,0.0109,ODP,0.0865
A20,188,0.0667,-0.0019,-0.0022,ODP,0.0667
A30,217,0.004,0.0608,-0.0348,OPORT,0.0608
A07,798,0.024,0.0594,-0.014,OPORT,0.0594
A27,50,-0.0497,-0.0912,-0.0101,OPORT,-0.0912
A08,43,-0.1233,0.0906,-0.0081,ODP,-0.1233
A28,118,-0.1466,0.0002,0.0937,ODP,-0.1466
A10,46,-0.2539,-0.0683,-0.2036,ODP,-0.2539
A03,41,-0.0764,-0.0736,-0.3146,INFRA,-0.3146
