NU_ANO;CO_CURSO;CO_GRUPO;CO_REGIAO_CURSO;CO_UF_CURSO;CO_IES;CO_MUNIC_CURSO
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;18558;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2005;53660;40;2;22;756;
2011;53331;4004;2;29;1053;2910800.0
2011;53331;4004;2;29;1053;2910800.0
2011;53331;4004;2;29;1053;2910800.0
2011;53331;4004;2;29;1053;2910800.0
2011;53331;4004;2;29;1053;2910800.0
2011;58804;4004;2;29;2085;2927408.0
2011;58804;4004;2;29;2085;2927408.0
2011;58804;4004;2;29;2085;2927408.0
2014;58808;4004;1;17;1066;1721000.0
2014;58808;4004;1;17;1066;1721000.0
2014;58808;4004;1;17;1066;1721000.0
2014;99202;4004;2;26;2242;2611606.0
2017;58808;4004;1;17;1066;1721000.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2017;1265453;4004;2;25;550;2510808.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
2021;12025;4004;1;15;569;1501402.0
