NU_ANO;CO_CURSO;CO_GRUPO;CO_REGIAO_CURSO;CO_UF_CURSO;CO_MODALIDADE;MEDIA_NT_FG
2005;317;40;2;28;;56.98181818181818
2005;513;40;2;22;;70.3125
2005;968;40;2;26;;54.44186046511628
2005;2209;40;2;23;;51.00638297872341
2005;8119;40;2;29;;57.88
2005;9414;40;1;11;;57.34583333333333
2005;9425;40;1;15;;56.76923076923077
2005;9432;40;1;13;;58.75555555555555
2005;9440;40;1;17;;56.55681818181818
2005;10515;40;2;29;;57.75384615384616
2005;11452;40;2;21;;56.57090909090909
2005;11554;40;1;12;;62.81276595744681
2005;11730;40;2;23;;47.65357142857143
2005;12025;40;1;15;;44.24444444444444
2005;12313;40;2;24;;58.10727272727273
2005;13216;40;2;27;;48.772
2005;13277;40;2;29;;69.19255319148937
2005;13401;40;2;25;;61.45384615384615
2005;13446;40;2;25;;69.72238805970149
2005;13595;40;2;26;;64.4979797979798
2005;13980;40;2;23;;56.00819672131148
2005;17886;40;1;13;;56.85666666666667
2005;18267;40;2;29;;60.85263157894737
2005;18559;40;2;22;;65.29574468085107
2005;18584;40;2;23;;62.653703703703705
2005;18670;40;2;29;;65.8063829787234
2005;18671;40;2;29;;59.245714285714286
2005;18683;40;2;28;;53.62083333333334
2005;18882;40;1;11;;60.72727272727273
2005;18903;40;2;27;;33.48252427184466
2005;19042;40;2;29;;66.40227272727272
2005;19047;40;2;25;;57.43913043478261
2005;19780;40;2;24;;55.12857142857143
2005;20009;40;1;15;;56.19404761904762
2005;20030;40;2;29;;59.105405405405406
2005;20131;40;1;13;;61.0
2005;20239;40;2;29;;64.9151515151515
2005;20756;40;2;22;;57.94782608695652
2005;20933;40;2;24;;62.64090909090908
2005;21464;40;2;23;;39.43658536585366
2005;21475;40;2;29;;56.41052631578947
2005;22035;40;1;15;;55.47260273972603
2005;22037;40;1;11;;52.9780487804878
2005;22047;40;2;24;;54.8523076923077
2005;22061;40;1;13;;55.49090909090909
2005;37862;40;2;26;;58.319148936170215
2005;40343;40;2;28;;51.51818181818182
2005;41238;40;1;17;;59.57659574468085
2005;43429;40;2;26;;57.07142857142857
2005;43662;40;1;13;;50.4962962962963
2005;43664;40;1;13;;46.85757575757576
2005;46287;40;2;29;;59.71212121212121
2005;46377;40;2;23;;48.019047619047626
2005;46487;40;2;24;;56.896875
2005;47051;40;2;27;;38.45846153846154
2005;47478;40;2;26;;48.11538461538461
2005;47505;40;2;22;;53.16315789473684
2005;47947;40;1;11;;51.97234042553191
2005;48205;40;2;26;;47.064516129032256
2005;48675;40;2;29;;59.832608695652176
2005;49054;40;2;26;;56.71
2005;49071;40;2;25;;59.61666666666667
2005;50082;40;2;21;;52.13333333333333
2005;50888;40;1;17;;46.92580645161291
2005;50981;40;2;22;;60.46470588235295
2005;50996;40;2;22;;43.57857142857143
2005;51001;40;1;16;;54.05822784810127
2005;51020;40;2;29;;48.144444444444446
2005;52973;40;2;26;;66.22
2005;53331;40;2;29;;58.435
2005;53333;40;2;29;;53.71851851851852
2005;53342;40;2;23;;51.93076923076923
2005;53664;40;2;22;;52.0608695652174
2005;53668;40;2;22;;46.985
2005;53993;40;2;22;;61.52352941176471
2005;54003;40;2;22;;66.30588235294118
2005;54005;40;2;22;;4.055555555555555
2005;54934;40;2;29;;56.28
2005;55332;40;1;15;;53.626666666666665
2005;55402;40;2;21;;55.63246753246753
2005;55777;40;1;11;;49.84
2005;56172;40;2;29;;55.0290909090909
2005;57606;40;2;24;;47.02105263157895
2005;57612;40;2;29;;51.81904761904762
2005;58430;40;1;17;;53.20769230769231
2005;58854;40;2;26;;70.6076923076923
2005;58910;40;2;27;;38.87058823529412
2005;59078;40;2;25;;54.66842105263158
2005;59122;40;2;23;;59.93529411764706
2005;60886;40;1;15;;66.88809523809525
2005;62484;40;1;13;;63.39047619047619
2005;63080;40;2;29;;48.61666666666667
2005;64710;40;2;29;;67.56470588235294
2005;67020;40;2;21;;53.900000000000006
2005;67092;40;2;26;;55.55
2005;67601;40;1;14;;47.94166666666666
2005;67947;40;2;24;;42.14
2005;68930;40;2;26;;52.58636363636364
2005;72007;40;1;13;;53.43055555555556
2005;73140;40;2;29;;47.96470588235294
2005;73438;40;1;13;;45.34
2005;73519;40;2;29;;56.858823529411765
2005;73898;40;1;15;;46.88780487804878
2005;73956;40;1;17;;48.56666666666667
2005;74208;40;2;29;;54.0
2005;81210;40;1;17;;46.40555555555555
2005;82364;40;1;12;;46.23125
2005;82735;40;2;29;;55.83125
2005;86326;40;1;15;;60.65384615384615
2005;87396;40;2;26;;65.20384615384616
2008;317;40;2;28;;58.8235294117647
2008;513;40;2;22;;59.76923076923077
2008;968;40;2;26;;50.79203539823009
2008;2209;40;2;23;;53.625
2008;8119;40;2;29;;53.75
2008;9414;40;1;11;;53.46666666666667
2008;9425;40;1;15;;52.925
2008;9440;40;1;17;;45.25
2008;10515;40;2;29;;46.85915492957746
2008;11452;40;2;21;;55.35526315789474
2008;11554;40;1;12;;51.4765625
2008;11730;40;2;23;;50.71818181818182
2008;12025;40;1;15;;55.16981132075472
2008;12313;40;2;24;;61.0
2008;13216;40;2;27;;44.98148148148148
2008;13277;40;2;29;;56.823170731707314
2008;13401;40;2;25;;55.33
2008;13446;40;2;25;;58.39411764705882
2008;13595;40;2;26;;60.89795918367347
2008;13980;40;2;23;;48.95967741935484
2008;17886;40;1;13;;40.62162162162162
2008;17898;40;2;23;;43.67857142857143
2008;18250;40;1;15;;50.282051282051285
2008;18267;40;2;29;;49.669117647058826
2008;18559;40;2;22;;54.375
2008;18584;40;2;23;;48.910714285714285
2008;18670;40;2;29;;52.833333333333336
2008;18671;40;2;29;;49.75
2008;18680;40;2;24;;44.70212765957447
2008;18683;40;2;28;;50.38461538461539
2008;18903;40;2;27;;36.650442477876105
2008;19042;40;2;29;;57.098214285714285
2008;19047;40;2;25;;48.93333333333333
2008;19780;40;2;24;;48.53846153846154
2008;20009;40;1;15;;43.33064516129032
2008;20030;40;2;29;;47.87719298245614
2008;20131;40;1;13;;44.892857142857146
2008;20239;40;2;29;;52.40625
2008;20756;40;2;22;;45.46052631578947
2008;20933;40;2;24;;52.66129032258065
2008;21464;40;2;23;;49.16666666666666
2008;21475;40;2;29;;47.6764705882353
2008;22035;40;1;15;;44.79245283018868
2008;22037;40;1;11;;42.0
2008;22047;40;2;24;;47.46875
2008;22061;40;1;13;;45.62222222222222
2008;37862;40;2;26;;49.51875
2008;40343;40;2;28;;46.80769230769231
2008;41238;40;1;17;;53.11363636363637
2008;43429;40;2;26;;50.035714285714285
2008;43662;40;1;13;;45.833333333333336
2008;43664;40;1;13;;44.55
2008;46068;40;2;25;;49.09848484848485
2008;46287;40;2;29;;44.61627906976744
2008;46377;40;2;23;;46.52777777777778
2008;46487;40;2;24;;48.583333333333336
2008;47051;40;2;27;;40.13953488372093
2008;47069;40;2;23;;48.820754716981135
2008;47478;40;2;26;;47.86842105263158
2008;47505;40;2;22;;43.91304347826087
2008;47947;40;1;11;;46.74390243902439
2008;48076;40;2;26;;45.30232558139535
2008;48201;40;2;26;;45.77777777777778
2008;48205;40;2;26;;40.34745762711864
2008;48675;40;2;29;;45.66666666666666
2008;48993;40;1;16;;50.47560975609756
2008;49054;40;2;26;;48.2890625
2008;49071;40;2;25;;43.86538461538461
2008;50082;40;2;21;;42.208333333333336
2008;50463;40;1;15;;44.78099173553719
2008;50888;40;1;17;;37.0
2008;50981;40;2;22;;47.957142857142856
2008;50996;40;2;22;;51.25757575757576
2008;51001;40;1;16;;45.838235294117645
2008;51020;40;2;29;;46.16666666666666
2008;52973;40;2;26;;52.625
2008;53193;40;1;15;;53.0234375
2008;53331;40;2;29;;39.37931034482759
2008;53333;40;2;29;;43.95762711864407
2008;53342;40;2;23;;50.68181818181818
2008;54696;40;2;27;;37.025
2008;54934;40;2;29;;50.708333333333336
2008;55332;40;1;15;;49.55357142857143
2008;55402;40;2;21;;41.465753424657535
2008;55777;40;1;11;;41.625
2008;56172;40;2;29;;45.0875
2008;57028;40;1;13;;42.285714285714285
2008;57606;40;2;24;;56.12903225806452
2008;57612;40;2;29;;43.53125
2008;58430;40;1;17;;42.23275862068966
2008;58804;40;2;29;;46.30555555555556
2008;58808;40;1;17;;36.9
2008;58854;40;2;26;;64.42857142857143
2008;58910;40;2;27;;42.44444444444444
2008;59078;40;2;25;;45.25
2008;59122;40;2;23;;53.15
2008;60886;40;1;15;;44.654545454545456
2008;62484;40;1;13;;56.9537037037037
2008;63080;40;2;29;;51.32142857142857
2008;64664;40;2;25;;46.3936170212766
2008;64710;40;2;29;;56.05882352941177
2008;67020;40;2;21;;48.7872340425532
2008;67092;40;2;26;;44.3
2008;67601;40;1;14;;44.60227272727273
2008;72007;40;1;13;;42.766666666666666
2008;73140;40;2;29;;47.45238095238095
2008;73438;40;1;13;;48.4
2008;73451;40;2;29;;49.35416666666666
2008;73519;40;2;29;;47.513888888888886
2008;73956;40;1;17;;48.7
2008;74208;40;2;29;;55.5
2008;74737;40;1;11;;38.74358974358975
2008;81210;40;1;17;;36.63333333333333
2008;82364;40;1;12;;34.59090909090909
2008;82735;40;2;29;;49.9375
2008;83388;40;2;26;;45.36538461538461
2008;85150;40;2;22;;49.10526315789474
2008;86318;40;1;15;;55.234375
2008;86326;40;1;15;;54.72727272727273
2008;87396;40;2;26;;57.25
2008;88066;40;1;11;;30.0
2008;88068;40;2;29;;40.32692307692308
2008;88084;40;2;22;;45.97619047619048
2008;88154;40;2;29;;42.05
2008;90030;40;2;23;;49.5
2008;91181;40;2;23;;41.833333333333336
2008;91262;40;2;24;;51.5
2008;94455;40;2;22;;42.06
2008;94762;40;2;26;;47.677083333333336
2008;95017;40;2;28;;41.98
2008;95175;40;2;23;;52.56666666666667
2008;97425;40;2;29;;56.60526315789474
2008;97443;40;2;29;;32.0
2008;97778;40;2;29;;11.194444444444445
2008;98013;40;2;21;;48.20454545454545
2008;98305;40;1;14;;46.45
2008;98595;40;1;13;;40.67142857142857
2008;98665;40;1;14;;44.86363636363637
2008;98764;40;2;27;;35.5
2008;98957;40;1;13;;38.30172413793103
2008;98984;40;2;25;;59.43478260869565
2008;99202;40;2;26;;40.94444444444444
2008;99300;40;2;23;;56.083333333333336
2008;99406;40;2;28;;43.21052631578947
2008;99660;40;1;11;;39.02941176470589
2008;99820;40;2;23;;41.51219512195122
2008;100075;40;2;24;;44.526315789473685
2008;100105;40;2;24;;52.333333333333336
2008;100654;40;1;15;;32.17391304347826
2008;101830;40;2;26;;37.41666666666666
2008;101942;40;2;27;;52.926829268292686
2008;102590;40;2;22;;41.11111111111112
2008;103062;40;2;29;;59.03703703703704
2008;104360;40;2;23;;57.3
2008;104868;40;2;29;;54.2
2008;106167;40;2;23;;59.66666666666666
2008;106996;40;1;13;;42.1864406779661
2008;107360;40;2;25;;50.15625
2008;107409;40;2;26;;46.723214285714285
2008;107920;40;2;21;;53.8125
2008;108660;40;2;22;;51.46621621621622
2008;109572;40;2;29;;42.875
2008;112086;40;1;13;;56.42
2008;113455;40;2;27;;47.47916666666666
2008;113813;40;2;21;;53.375
2011;317;4004;2;28;1.0;40.46153846153846
2011;513;4004;2;22;1.0;53.0625
2011;968;4004;2;26;1.0;50.28658536585366
2011;2209;4004;2;23;1.0;51.86734693877551
2011;11452;4004;2;21;1.0;55.08928571428572
2011;11554;4004;1;12;1.0;55.86363636363637
2011;11730;4004;2;23;1.0;49.16891891891892
2011;12025;4004;1;15;1.0;61.23529411764706
2011;12313;4004;2;24;1.0;52.535714285714285
2011;13216;4004;2;27;1.0;57.68518518518518
2011;13277;4004;2;29;1.0;53.12765957446808
2011;13401;4004;2;25;1.0;43.57142857142857
2011;13446;4004;2;25;1.0;57.12244897959184
2011;13595;4004;2;26;1.0;45.13084112149533
2011;13980;4004;2;23;1.0;49.22222222222222
2011;17898;4004;2;23;1.0;51.54054054054054
2011;18250;4004;1;15;1.0;55.46153846153846
2011;18267;4004;2;29;1.0;46.0925925925926
2011;18558;4004;2;22;1.0;57.8
2011;18559;4004;2;22;1.0;51.6764705882353
2011;18584;4004;2;23;1.0;58.70588235294117
2011;18670;4004;2;29;1.0;52.8421052631579
2011;18671;4004;2;29;1.0;47.27777777777778
2011;18683;4004;2;28;1.0;55.10714285714285
2011;19042;4004;2;29;1.0;47.81428571428572
2011;19047;4004;2;25;1.0;55.1875
2011;20009;4004;1;15;1.0;48.375
2011;20030;4004;2;29;1.0;53.71590909090909
2011;20239;4004;2;29;1.0;55.696969696969695
2011;20933;4004;2;24;1.0;53.28333333333333
2011;21475;4004;2;29;1.0;48.88333333333333
2011;22035;4004;1;15;1.0;49.62903225806452
2011;22037;4004;1;11;1.0;50.8
2011;22061;4004;1;13;1.0;46.25
2011;37862;4004;2;26;1.0;49.07608695652174
2011;41238;4004;1;17;1.0;54.8015873015873
2011;46287;4004;2;29;1.0;38.23809523809524
2011;46377;4004;2;23;1.0;49.7
2011;47478;4004;2;26;1.0;60.083333333333336
2011;48201;4004;2;26;1.0;57.79166666666666
2011;48205;4004;2;26;1.0;46.42307692307692
2011;49071;4004;2;25;1.0;47.15625
2011;50888;4004;1;17;1.0;49.208333333333336
2011;51001;4004;1;16;1.0;43.73529411764706
2011;55402;4004;2;21;1.0;51.84782608695652
2011;55777;4004;1;11;1.0;45.38333333333333
2011;57606;4004;2;24;1.0;50.20588235294117
2011;58910;4004;2;27;1.0;57.75
2011;59078;4004;2;25;1.0;59.875
2011;59122;4004;2;23;1.0;51.31944444444444
2011;59365;4004;2;23;1.0;46.25
2011;62484;4004;1;13;1.0;43.48717948717949
2011;67092;4004;2;26;1.0;61.625
2011;67601;4004;1;14;1.0;51.67307692307692
2011;68009;4004;2;23;1.0;42.15217391304348
2011;73451;4004;2;29;1.0;36.64705882352941
2011;73519;4004;2;29;1.0;50.05555555555556
2011;83388;4004;2;26;1.0;62.65384615384615
2011;85150;4004;2;22;1.0;55.35
2011;88066;4004;1;11;1.0;59.9375
2011;88068;4004;2;29;1.0;51.48611111111112
2011;88084;4004;2;22;1.0;45.3421052631579
2011;88154;4004;2;29;1.0;43.02941176470589
2011;91262;4004;2;24;1.0;59.35
2011;94455;4004;2;22;1.0;40.5
2011;95175;4004;2;23;1.0;54.31818181818182
2011;98305;4004;1;14;1.0;52.07142857142857
2011;98595;4004;1;13;1.0;47.86666666666667
2011;98665;4004;1;14;1.0;35.583333333333336
2011;98957;4004;1;13;1.0;50.5125
2011;99202;4004;2;26;1.0;61.7
2011;100075;4004;2;24;1.0;54.56666666666667
2011;100105;4004;2;24;1.0;58.25
2011;101942;4004;2;27;1.0;61.515625
2011;106996;4004;1;13;1.0;64.2
2011;107920;4004;2;21;1.0;52.86363636363637
2011;112086;4004;1;13;1.0;58.3
2011;113813;4004;2;21;1.0;52.3
2011;318882;4004;1;11;1.0;56.90909090909091
2014;317;4004;2;28;1.0;62.71162790697674
2014;513;4004;2;22;1.0;61.08620689655172
2014;968;4004;2;26;1.0;54.44920634920635
2014;2209;4004;2;23;1.0;63.184375
2014;11452;4004;2;21;1.0;63.61304347826086
2014;11730;4004;2;23;1.0;54.76379310344828
2014;12025;4004;1;15;1.0;63.37857142857143
2014;12313;4004;2;24;1.0;58.223255813953486
2014;13216;4004;2;27;1.0;64.42857142857143
2014;13277;4004;2;29;1.0;69.96666666666667
2014;13401;4004;2;25;1.0;70.28717948717949
2014;13446;4004;2;25;1.0;62.66428571428571
2014;13595;4004;2;26;1.0;68.60416666666667
2014;13980;4004;2;23;1.0;70.31875000000001
2014;17898;4004;2;23;1.0;57.12692307692308
2014;18250;4004;1;15;1.0;65.69285714285715
2014;18267;4004;2;29;1.0;58.970370370370375
2014;18558;4004;2;22;1.0;57.9359375
2014;18559;4004;2;22;1.0;56.94285714285714
2014;18584;4004;2;23;1.0;62.08947368421053
2014;18683;4004;2;28;1.0;58.2
2014;19042;4004;2;29;1.0;59.37826086956522
2014;19047;4004;2;25;1.0;57.607317073170734
2014;20009;4004;1;15;1.0;50.83529411764706
2014;20030;4004;2;29;1.0;71.09655172413794
2014;20239;4004;2;29;1.0;64.92272727272727
2014;20933;4004;2;24;1.0;57.02272727272727
2014;22061;4004;1;13;1.0;50.25882352941176
2014;37862;4004;2;26;1.0;52.97555555555556
2014;41238;4004;1;17;1.0;62.220454545454544
2014;43664;4004;1;13;1.0;48.42857142857143
2014;46377;4004;2;23;1.0;64.17272727272727
2014;48201;4004;2;26;1.0;60.01111111111111
2014;48205;4004;2;26;1.0;53.97802197802198
2014;50888;4004;1;17;1.0;40.61304347826087
2014;57606;4004;2;24;1.0;59.932
2014;58804;4004;2;29;1.0;62.06
2014;58910;4004;2;27;1.0;58.720000000000006
2014;59078;4004;2;25;1.0;57.87272727272728
2014;59122;4004;2;23;1.0;65.28333333333333
2014;62484;4004;1;13;1.0;66.46521739130435
2014;67092;4004;2;26;1.0;62.381818181818176
2014;73519;4004;2;29;1.0;59.4
2014;83388;4004;2;26;1.0;62.32142857142857
2014;88084;4004;2;22;1.0;56.040000000000006
2014;88154;4004;2;29;1.0;56.06666666666666
2014;94455;4004;2;22;1.0;51.02727272727272
2014;98305;4004;1;14;1.0;63.495000000000005
2014;98665;4004;1;14;1.0;57.17
2014;98764;4004;2;27;1.0;59.3111111111111
2014;98957;4004;1;13;1.0;53.58775510204082
2014;100075;4004;2;24;1.0;50.61052631578948
2014;100105;4004;2;24;1.0;65.41
2014;101942;4004;2;27;1.0;53.25
2014;106996;4004;1;13;1.0;55.9179104477612
2014;107920;4004;2;21;1.0;57.559649122807016
2014;109572;4004;2;29;1.0;51.33913043478261
2014;118468;4004;2;26;1.0;70.56666666666666
