NU_ANO;CO_REGIAO_CURSO;quantidade_cursos;media_nt_fg;mediana_nt_fg;menor_nt_fg;maior_nt_fg;desvio_padrao_nt_fg
2005;1;32;53.9844;53.8424;44.2444;66.8881;5.9807
2005;2;78;55.2016;56.3453;4.0556;70.6077;9.6418
2008;1;46;45.215;44.828;30.0;56.9537;6.4948
2008;2;119;48.4215;48.5833;11.1944;64.4286;6.9118
2011;1;21;51.4897;50.8;35.5833;64.2;6.7998
2011;2;58;51.7824;52.0837;36.6471;62.6538;6.1136
2014;1;15;58.2149;57.17;40.613;79.2;9.2267
2014;2;51;60.6215;59.4;48.9;75.8364;6.0566
2017;1;18;50.0463;51.578;38.7882;59.5;6.8168
2017;2;54;54.6302;53.5041;35.9429;67.3304;6.4982
2021;1;14;36.1996;36.9067;26.8167;46.15;6.9163
2021;2;62;38.6671;38.2181;24.3833;54.3;6.2578
